TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	RIAAN  JOUBERT			15-JUL-26	15-JUL-26		15534100	KOMATI FRUITS ( P	AC 	400	141623	24	400	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	72	*		*		ORGS,CTT150,NV,CL 1,*,72,*	29
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26		15546496	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	64	*		*		ORGS,CTT150,NV,CL 2,*,64,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26		15546489	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	64	*		*		ORGS,CTT150,NV,CL 1,*,64,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			13-JUL-26	13-JUL-26		15531530	KOMATI FRUITS ( P	AC 	560	141623	24	560	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	64	*		*		ORGS,CTT150,NV,CL 1,*,64,*	30
R S A MARKET AGENTS	RIAAN  JOUBERT			15-JUL-26	15-JUL-26		15534099	KOMATI FRUITS ( P	AC 	480	141623	24	480	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	64	*		*		ORGS,CTT150,NV,CL 1,*,64,*	29
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26		15529538	KOMATI FRUITS ( P	AC 	240	141623	24	240	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	56	*		*		ORGS,CTT150,NV,CL 1,*,56,*	32
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26		15529515	KOMATI FRUITS ( P	AC 	240	141623	24	240	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	56	*		*		ORGS,CTT150,NV,CL 2,*,56,*	32
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26		15540209	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	56	*		*		ORGS,CTT150,NV,CL 1,*,56,*	26
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26		15540194	KOMATI FRUITS ( P	AC 	240	141623	24	240	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	56	*		*		ORGS,CTT150,NV,CL 2,*,56,*	26
R S A MARKET AGENTS	RIAAN  JOUBERT			13-JUL-26	13-JUL-26		15531526	KOMATI FRUITS ( P	AC 	240	141623	24	240	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	56	*		*		ORGS,CTT150,NV,CL 1,*,56,*	30
R S A MARKET AGENTS	RIAAN  JOUBERT			08-JUL-26	08-JUL-26	8408	15523834	ENDULINI FRUIT (P	HL 	160	141623	24	160	0		1	6	261	261	LEMS	CTT150	*	12	*	56	*		 	8408	LEMS,CTT150,*,LOWEST CLASS,*,56,*	35
R S A MARKET AGENTS	RIAAN  JOUBERT			08-JUL-26	08-JUL-26	8154	15523829	ENDULINI FRUIT (P	HL 	319	141623	24	319	0		1	6	261	261	LEMS	CTT150	*	12	*	64	*		 	8154	LEMS,CTT150,*,LOWEST CLASS,*,64,*	35
R S A MARKET AGENTS	RIAAN  JOUBERT			07-AUG-26	07-AUG-26	313	15578436	KAMBO FOREST HILL	HL 	32	141623	24	32	0		1	6	261	261	APP	EPB015	GS	1	120	8	*		*	313	APP,EPB015,GS,CL 1,120,8,*	6
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	714	15552559	KAMBO FOREST HILL	HL 	49	141623	24	49	0	431	1	6	261	261	APP	CT185	GS	1	*	110	*		 	714	APP,CT185,GS,CL 1,*,110,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	796	15552559	KAMBO FOREST HILL	HL 	9	141623	24	9	0		1	6	261	261	APP	CT185	GS	1	*	110	*		 	796	APP,CT185,GS,CL 1,*,110,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	1491	15552584	KAMBO FOREST HILL	HL 	3	141623	24	3	0	431	1	6	261	261	APP	EPB015	GD	1	120	8	*		 	1491	APP,EPB015,GD,CL 1,120,8,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	2559	15552546	KAMBO FOREST HILL	HL 	76	141623	24	76	0		1	6	261	261	APP	CT185	GS	1	*	90	*		 	2559	APP,CT185,GS,CL 1,*,90,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	5988	15566076	KOMATI FRUITS ( P	HL 	65	141623	24	65	0		1	6	261	261	GFT	CO150	JS	1	*	64	*		 	5988	GFT,CO150,JS,CL 1,*,64,*	13
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	3344	15566083	KOMATI FRUITS ( P	HL 	325	141623	24	325	0		1	6	261	261	GFT	CO150	JS	1	*	72	*		 	3344	GFT,CO150,JS,CL 1,*,72,*	13
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	5968	15566035	KOMATI FRUITS ( P	HL 	65	141623	24	65	0		1	6	261	261	GFT	CO150	JS	1	*	96	*		 	5968	GFT,CO150,JS,CL 1,*,96,*	13
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	5918	15566071	KOMATI FRUITS ( P	HL 	65	141623	24	65	0		1	6	261	261	GFT	CO150	JS	1	*	96	*		 	5918	GFT,CO150,JS,CL 1,*,96,*	13
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	5982	15566079	KOMATI FRUITS ( P	HL 	130	141623	24	130	0		1	6	261	261	GFT	CO150	JS	1	*	64	*		 	5982	GFT,CO150,JS,CL 1,*,64,*	13
R S A MARKET AGENTS	RIAAN  JOUBERT			16-MAY-26	16-MAY-26	538	15429353	KOMATI FRUITS ( P	HL 	229	141623	24	229	0		1	6	261	261	LEMS	CTT150	*	1	*	113	*		 	538	LEMS,CTT150,*,CL 1,*,113,*	89
