TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			19-JUN-26	19-JUN-26	991	15491915	ENDULINI FRUIT (P	HL 	273	82089	24	273	0		1	6	261	261	LEMS	CTT150	*	1	*	48	*		 	991	LEMS,CTT150,*,CL 1,*,48,*	55
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			13-JUL-26	13-JUL-26	7260	15528991	ENDULINI FRUIT (P	HL 	157	82089	24	157	0		1	6	261	261	LEMS	CTT150	*	12	*	88	*		 	7260	LEMS,CTT150,*,LOWEST CLASS,*,88,*	31
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	1247	15567447	ENDULINI FRUIT (P	HL 	26	82089	24	26	0	430	1	6	261	261	NAAR	CO150	Q2	1	3X	*	*		 	1247	NAAR,CO150,Q2,CL 1,3X,*,*	10
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	1436	15567452	ENDULINI FRUIT (P	HL 	65	82089	24	65	0	430	1	6	261	261	NAAR	CO150	Q2	1	4X	*	*		*	1436	NAAR,CO150,Q2,CL 1,4X,*,*	10
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			24-JUL-26	24-JUL-26	7040	15552351	ENDULINI FRUIT (P	HL 	358	82089	24	358	0		1	6	261	261	ORGS	PC060	NV	2	L	*	*		 	7040	ORGS,PC060,NV,CL 2,L,*,*	20
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	3299	15567303	ENDULINI FRUIT (P	HL 	10	82089	24	10	0		1	6	261	261	ORGS	PC060	NV	2	L	*	*		 	3299	ORGS,PC060,NV,CL 2,L,*,*	10
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-AUG-26	12-AUG-26	7980	15585728	ENDULINI FRUIT (P	HL 	2520	82089	24	2520	0		1	6	261	261	ORGS	PC060	NV	2	L	*	*		 	7980	ORGS,PC060,NV,CL 2,L,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	3346	15567322	ENDULINI FRUIT (P	HL 	234	82089	24	234	0		1	6	261	261	ORGS	PC100	NV	2	XL	*	*		 	3346	ORGS,PC100,NV,CL 2,XL,*,*	10
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-AUG-26	12-AUG-26	7978	15585724	ENDULINI FRUIT (P	HL 	126	82089	24	126	0		1	6	261	261	ORGS	PC060	NV	2	M	*	*		 	7978	ORGS,PC060,NV,CL 2,M,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-AUG-26	12-AUG-26	7992	15585734	ENDULINI FRUIT (P	HL 	480	82089	24	480	0		1	6	261	261	ORGS	PC100	NV	2	XL	*	*		 	7992	ORGS,PC100,NV,CL 2,XL,*,*	1
