TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			07-MAY-26	07-MAY-26	9398	15412212	ENDULINI FRUIT (P	HL 	166	80399	24	166	0		1	6	261	261	SATS	CO100	*	1	1XXX	*	*		 	9398	SATS,CO100,*,CL 1,1XXX,*,*	87
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			07-MAY-26	07-MAY-26	9396	15412187	ENDULINI FRUIT (P	HL 	15	80399	24	15	0		1	6	261	261	SATS	CO100	*	1	1	*	*		 	9396	SATS,CO100,*,CL 1,1,*,*	87
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			26-MAY-26	26-MAY-26	4151	15448009	DELTA FRESH PRODU	HL 	271	80399	24	271	0		1	6	261	261	NAAR	CO100	LR	1	1XXX	*	*		 	4151	NAAR,CO100,LR,CL 1,1XXX,*,*	68
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			26-MAY-26	26-MAY-26	4227	15448011	DELTA FRESH PRODU	HL 	97	80399	24	97	0		1	6	261	261	NAAR	CO150	LR	1	1XXX	*	*		 	4227	NAAR,CO150,LR,CL 1,1XXX,*,*	68
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-MAY-26	29-MAY-26	6775	15455328	ENDULINI FRUIT (P	HL 	22	80399	24	22	0		1	6	261	261	CLTM	CO100	*	1	1	*	*		 	6775	CLTM,CO100,*,CL 1,1,*,*	66
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-MAY-26	29-MAY-26	6798	15455331	ENDULINI FRUIT (P	HL 	514	80399	24	514	0		1	6	261	261	CLTM	CO100	*	1	1XXX	*	*		 	6798	CLTM,CO100,*,CL 1,1XXX,*,*	66
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-MAY-26	29-MAY-26	6506	15455290	SRCC MARKETING (P	HL 	586	80399	24	586	0		1	6	261	261	LEMS	CTT150	*	2	*	48	*		 	6506	LEMS,CTT150,*,CL 2,*,48,*	66
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			02-JUN-26	02-JUN-26	4908	15461961	BLYDEVALLEI SITRU	HL 	504	80399	24	504	0		1	6	261	261	NAAR	CO100	HM	1	3X	*	*		 	4908	NAAR,CO100,HM,CL 1,3X,*,*	62
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			14-JUN-26	14-JUN-26	9302	15483854	SRCC MARKETING (P	HL 	65	80399	24	65	0		1	6	261	261	LEMS	CTT150	*	2	*	56	*		 	9302	LEMS,CTT150,*,CL 2,*,56,*	50
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			14-JUN-26	14-JUN-26	9296	15483841	SRCC MARKETING (P	HL 	271	80399	24	271	0		1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	9296	LEMS,CTT150,*,CL 1,*,56,*	50
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			14-JUN-26	14-JUN-26	9288	15483836	SRCC MARKETING (P	HL 	72	80399	24	72	0		1	6	261	261	LEMS	CTT150	*	1	*	48	*		 	9288	LEMS,CTT150,*,CL 1,*,48,*	50
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			14-JUN-26	14-JUN-26	9240	15483754	SRCC MARKETING (P	HL 	1	80399	24	1	0		1	6	261	261	NOVA	DL076	*	1	1XX	*	*		 	9240	NOVA,DL076,*,CL 1,1XX,*,*	50
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			14-JUN-26	14-JUN-26	9251	15483766	SRCC MARKETING (P	HL 	102	80399	24	102	0		1	6	261	261	NOVA	DL076	*	1	1XX	*	*		 	9251	NOVA,DL076,*,CL 1,1XX,*,*	50
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			14-JUN-26	14-JUN-26	9246	15483757	SRCC MARKETING (P	HL 	4	80399	24	4	0		1	6	261	261	NOVA	DL076	*	1	1XXX	*	*		 	9246	NOVA,DL076,*,CL 1,1XXX,*,*	50
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			14-JUN-26	14-JUN-26	9249	15483760	SRCC MARKETING (P	HL 	24	80399	24	24	0		1	6	261	261	NOVA	DL076	*	1	1	*	*		 	9249	NOVA,DL076,*,CL 1,1,*,*	50
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			14-JUN-26	14-JUN-26	9200	15483632	SUNDAYS RIVER CIT	HL 	68	80399	24	68	0		1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	9200	LEMS,CTT150,*,CL 1,*,56,*	50
